"parkingSpaces","size","alarmSystem","gameRoom","furnished","securityCabin","pipedGas","propertyPrice","playGround","swimmingPool","barbecueGrill","score","latitude","longitude","bedrooms","monthlyFees","rentalPrice","propertyType","steamRoom","gym","neighborhood","id","suites","permanentDoorman","m2RentalPrice","link"
0,80,"False","False","False","False","False",0,"False","False","False",122,-19.9213518,-43.9462316,3,270,900,"apartamento","False","False","barro-preto",658459,0,"False",11.25,"https://www.netimoveis.com/imovel/dummy/658459"
2,85,"False","False","False","False","False",0,"False","False","False",122,-19.880433,-43.993759,3,460,1000,"apartamento","False","False","castelo",330704,1,"False",11.7647058823529,"https://www.netimoveis.com/imovel/dummy/330704"
1,40,"False","False","False","False","False",0,"False","True","False",122,-19.9653765,-43.9598647,1,445.08,1000,"apartamento","False","False","estoril",669035,0,"True",25,"https://www.netimoveis.com/imovel/dummy/669035"
1,69,"False","False","False","False","False",0,"False","False","False",122,-19.9364957,-43.969677,2,150,1100,"apartamento","False","False","barroca",454969,0,"False",15.9420289855072,"https://www.netimoveis.com/imovel/dummy/454969"
1,69,"False","False","False","False","False",0,"False","False","False",122,-19.9364957,-43.969677,2,150,1100,"apartamento","False","False","grajau",454969,0,"False",15.9420289855072,"https://www.netimoveis.com/imovel/dummy/454969"
1,57,"False","True","False","False","True",0,"True","True","True",122,-19.8800007,-43.9918813,2,250,1100,"apartamento","True","True","castelo",678672,1,"True",19.2982456140351,"https://www.netimoveis.com/imovel/dummy/678672"
1,57,"False","True","False","False","True",0,"True","True","True",122,-19.8800007,-43.9918813,2,250,1100,"apartamento","True","True","paqueta",678672,1,"True",19.2982456140351,"https://www.netimoveis.com/imovel/dummy/678672"
2,95,"False","False","False","True","True",0,"False","False","False",122,-19.9049512,-43.9668251,3,430,1200,"apartamento","False","False","caicaras",654252,1,"True",12.6315789473684,"https://www.netimoveis.com/imovel/dummy/654252"
2,95,"False","False","False","False","False",0,"False","False","False",122,-19.9050867,-43.9697688,3,543,1200,"apartamento","False","False","caicaras",688778,1,"True",12.6315789473684,"https://www.netimoveis.com/imovel/dummy/688778"
2,66.79,"False","True","False","False","True",360000,"False","False","False",122,-19.9764685,-43.9782658,2,385,1200,"apartamento","False","False","buritis",690516,0,"False",17.9667614912412,"https://www.netimoveis.com/imovel/dummy/690516"
1,86.18,"False","True","False","False","True",0,"False","False","False",122,-19.8576693,-43.9394686,3,224.64,1300,"apartamento","False","False","dona-clara",690875,1,"False",15.0847064284057,"https://www.netimoveis.com/imovel/dummy/690875"
